price_in_rp,district,city,bedrooms,bathrooms,building_size_m2,land_size_m2,certificate,furnishing,city_encoded,district_encoded,certificate_encoded,furnishing_encoded
1600000000,Jatisampurna (Jati Sampurna),Kota Bekasi,1.0,2.0,0.05128205128205128,0.23863636363636365,SHM,Unfurnished,0,34,1,0
1175000000,Pondokmelati (Pondok Melati),Kota Bekasi,0.0,0.0,-0.41025641025641024,-0.4431818181818182,SHM,Unfurnished,0,69,1,0
1325000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.2564102564102564,-0.2840909090909091,SHM,Unfurnished,0,34,1,0
4000000000,Medansatria (Medan Satria),Kota Bekasi,1.0,2.0,1.1111111111111112,2.215909090909091,SHM,Unfurnished,0,54,1,0
397500000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.717948717948718,-0.5113636363636364,SHM,Unfurnished,0,56,1,0
3500000000,Bekasi Utara,Kota Bekasi,0.0,2.0,-0.13675213675213677,0.18181818181818182,SHM,Unfurnished,0,6,1,0
2775000000,Pondokgede (Pondok Gede),Kota Bekasi,1.0,1.0,-0.2564102564102564,0.75,SHM,Unfurnished,0,68,1,0
1650000000,Pondokgede (Pondok Gede),Kota Bekasi,1.0,1.0,0.2564102564102564,-0.23863636363636365,SHM,Unfurnished,0,68,1,0
1600000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,1.0,-0.13675213675213677,-0.17045454545454544,SHM,Furnished,0,34,1,2
890000000,Jatisampurna (Jati Sampurna),Kota Bekasi,0.0,0.0,-0.4700854700854701,-0.45454545454545453,SHM,Unfurnished,0,34,1,0
1100000000,Bekasi Utara,Kota Bekasi,1.0,0.0,-0.10256410256410256,-0.17045454545454544,SHM,Unfurnished,0,6,1,0
887000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.38461538461538464,-0.375,HGB,Unfurnished,0,32,0,0
1500000000,Medansatria (Medan Satria),Kota Bekasi,0.0,0.0,-0.42735042735042733,-0.4772727272727273,SHM,Unfurnished,0,54,1,0
920000000,Jatiasih,Kota Bekasi,0.0,0.0,-0.29914529914529914,-0.10227272727272728,SHM,Unfurnished,0,32,1,0
938150000,Rawalumbu,Kota Bekasi,0.0,0.0,-0.36752136752136755,-0.375,SHM,Unfurnished,0,71,1,0
1200000000,Pondokgede (Pondok Gede),Kota Bekasi,0.0,0.0,-0.38461538461538464,-0.5113636363636364,SHM,Unfurnished,0,68,1,0
1580000000,Pondokgede (Pondok Gede),Kota Bekasi,0.0,1.0,0.2564102564102564,0.375,SHM,Unfurnished,0,68,1,0
1690000000,Jatisampurna (Jati Sampurna),Kota Bekasi,1.0,1.0,0.3418803418803419,0.3181818181818182,SHM,Unfurnished,0,34,1,0
1795000000,Jatisampurna (Jati Sampurna),Kota Bekasi,-1.0,0.0,-0.6410256410256411,-0.7386363636363636,SHM,Unfurnished,0,34,1,0
596000000,Jatiasih,Kota Bekasi,-1.0,-1.0,-0.717948717948718,-0.4318181818181818,SHM,Unfurnished,0,32,1,0
550000000,Bekasi Utara,Kota Bekasi,-1.0,-1.0,-0.6410256410256411,-0.5113636363636364,SHM,Unfurnished,0,6,1,0
527000000,Mustikajaya (Mustika Jaya),Kota Bekasi,-1.0,-1.0,-0.6666666666666666,-0.3977272727272727,HGB,Unfurnished,0,56,0,0
570000000,Bekasi Utara,Kota Bekasi,0.0,-1.0,-0.27350427350427353,-0.17045454545454544,SHM,Unfurnished,0,6,1,0
725000000,Medansatria (Medan Satria),Kota Bekasi,-1.0,0.0,-0.4700854700854701,-0.3181818181818182,SHM,Unfurnished,0,54,1,0
